event_id, user_id       , video_id, creator_id , event_type, timestamp                 , engagement_duration   , content_type     , account_age_days, followers_count, following_count, profile_pic, bio_length, verified, location_consistent, bot_type               , is_bot, user_agent                                                  , ip_address     , screen_resolution, timezone_offset, avg_time_between_events, std_time_between_events, sequence_naturalness_score, engagement_diversity, total_events, unique_videos_engaged
e_1     , human_user_87 , v77     , creator_77 , view      , 2025-08-13 11:52:14.201936,  757.0573278776147    , lifestyle        ,              355,              15,              31, True       ,         69, False   , True               , human                  , False , Mozilla/5.0 (Windows NT 10.0; Win64; x64)                   , 147.75.237.47  , 1920x1080        , -7             , 540060.0000645         ,     919739.9999805     , -1.0                      ,  1.0                ,            3,                     3
e_2     , human_user_87 , v73     , creator_73 , view      , 2025-08-09 02:24:14.202020,  326.86741182066964   , comedy           ,              355,              15,              31, True       ,         69, False   , True               , human                  , False , Mozilla/5.0 (Windows NT 10.0; Win64; x64)                   , 147.75.237.47  , 1920x1080        , -7             , 540060.0000645         ,     919739.9999805     , -1.0                      ,  1.0                ,            3,                     3
e_3     , human_user_87 , v94     , creator_94 , view      , 2025-08-25 23:54:14.202065, 1639.5304248684372    , trending_dance   ,              355,              15,              31, True       ,         69, False   , True               , human                  , False , Mozilla/5.0 (Windows NT 10.0; Win64; x64)                   , 147.75.237.47  , 1920x1080        , -7             , 540060.0000645         ,     919739.9999805     , -1.0                      ,  1.0                ,            3,                     3
e_4     , human_user_785, v85     , creator_85 , view      , 2025-08-13 05:33:14.202437, 1390.5488592743025    , trending_dance   ,              429,             633,             315, True       ,        233, False   , False              , human                  , False , Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)      , 156.49.225.201 , 1366x768         , 3              , 71860.000022           ,     695401.9902179148  , -3.0                      ,  0.5714285714285714 ,            7,                     4
e_5     , human_user_785, v17     , creator_17 , view      , 2025-07-30 08:09:14.202482,  874.5399894980359    , educational      ,              429,             633,             315, True       ,        233, False   , False              , human                  , False , Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)      , 156.49.225.201 , 1366x768         , 3              , 71860.000022           ,     695401.9902179148  , -3.0                      ,  0.5714285714285714 ,            7,                     4
e_6     , human_user_785, v17     , creator_17 , view      , 2025-08-02 10:26:14.202482, 1550.524247723498     , educational      ,              429,             633,             315, True       ,        233, False   , False              , human                  , False , Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)      , 156.49.225.201 , 1366x768         , 3              , 71860.000022           ,     695401.9902179148  , -3.0                      ,  0.5714285714285714 ,            7,                     4
e_7     , human_user_785, v78     , creator_78 , view      , 2025-08-16 02:42:14.202528,  954.8969147246823    , political_content,              429,             633,             315, True       ,        233, False   , False              , human                  , False , Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)      , 156.49.225.201 , 1366x768         , 3              , 71860.000022           ,     695401.9902179148  , -3.0                      ,  0.5714285714285714 ,            7,                     4
e_8     , human_user_785, v78     , creator_78 , view      , 2025-08-16 09:32:14.202528,  693.8028906177477    , political_content,              429,             633,             315, True       ,        233, False   , False              , human                  , False , Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)      , 156.49.225.201 , 1366x768         , 3              , 71860.000022           ,     695401.9902179148  , -3.0                      ,  0.5714285714285714 ,            7,                     4
e_9     , human_user_785, v70     , creator_70 , view      , 2025-08-18 03:51:14.202569, 1543.3091594942334    , educational      ,              429,             633,             315, True       ,        233, False   , False              , human                  , False , Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)      , 156.49.225.201 , 1366x768         , 3              , 71860.000022           ,     695401.9902179148  , -3.0                      ,  0.5714285714285714 ,            7,                     4
e_10    , human_user_785, v70     , creator_70 , view      , 2025-08-18 05:19:14.202569,  677.1900471525549    , educational      ,              429,             633,             315, True       ,        233, False   , False              , human                  , False , Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)      , 156.49.225.201 , 1366x768         , 3              , 71860.000022           ,     695401.9902179148  , -3.0                      ,  0.5714285714285714 ,            7,                     4
e_11    , human_user_201, v100    , creator_100, view      , 2025-08-16 11:33:14.202766, 1263.7916134422946    , trending_dance   ,              241,              32,              43, True       ,         13, False   , True               , human                  , False , Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)             , 71.203.46.95   , 1366x768         , 1              , 489620.00001200003     ,     377925.37148527073 , -1.5                      ,  0.5                ,            4,                     2
e_12    , human_user_201, v51     , creator_51 , view      , 2025-08-28 01:41:14.202802,  422.53333297653626   , political_content,              241,              32,              43, True       ,         13, False   , True               , human                  , False , Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)             , 71.203.46.95   , 1366x768         , 1              , 489620.00001200003     ,     377925.37148527073 , -1.5                      ,  0.5                ,            4,                     2
e_13    , human_user_201, v51     , creator_51 , view      , 2025-09-01 07:47:14.202802,   96.82694876458972   , political_content,              241,              32,              43, True       ,         13, False   , True               , human                  , False , Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)             , 71.203.46.95   , 1366x768         , 1              , 489620.00001200003     ,     377925.37148527073 , -1.5                      ,  0.5                ,            4,                     2
e_14    , human_user_201, v51     , creator_51 , view      , 2025-09-02 11:34:14.202802, 1772.4731381173535    , political_content,              241,              32,              43, True       ,         13, False   , True               , human                  , False , Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)             , 71.203.46.95   , 1366x768         , 1              , 489620.00001200003     ,     377925.37148527073 , -1.5                      ,  0.5                ,            4,                     2
e_15    , human_user_272, v82     , creator_82 , view      , 2025-07-30 02:32:14.203014,  942.9901278485062    , educational      ,              148,               6,               6, True       ,          8, False   , True               , human                  , False , Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)      , 158.146.243.199, 1536x864         , 7              , 315800.00003366667     ,    1592886.1747295705  , 0.5                       ,  0.75               ,            4,                     3
e_16    , human_user_272, v82     , creator_82 , view      , 2025-08-06 11:00:14.203014,  329.9847185091908    , educational      ,              148,               6,               6, True       ,          8, False   , True               , human                  , False , Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)      , 158.146.243.199, 1536x864         , 7              , 315800.00003366667     ,    1592886.1747295705  , 0.5                       ,  0.75               ,            4,                     3
e_17    , human_user_272, v64     , creator_64 , comment   , 2025-08-30 14:47:14.203086, 1410.0209957882585    , political_content,              148,               6,               6, True       ,          8, False   , True               , human                  , False , Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)      , 158.146.243.199, 1536x864         , 7              , 315800.00003366667     ,    1592886.1747295705  , 0.5                       ,  0.75               ,            4,                     3
e_18    , human_user_272, v57     , creator_57 , view      , 2025-08-10 01:42:14.203115,  151.45239432859438   , comedy           ,              148,               6,               6, True       ,          8, False   , True               , human                  , False , Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X)      , 158.146.243.199, 1536x864         , 7              , 315800.00003366667     ,    1592886.1747295705  , 0.5                       ,  0.75               ,            4,                     3
e_19    , human_user_431, v78     , creator_78 , view      , 2025-08-26 07:14:14.203270, 1706.2173733644627    , political_content,               31,              16,             104, True       ,        158, False   , True               , human                  , False , Mozilla/5.0 (Windows NT 10.0; Win64; x64)                   , 24.145.89.247  , 1536x864         , 5              , 0.0                    ,          0.0           , 0.0                       ,  1.0                ,            1,                     1
e_20    , human_user_296, v46     , creator_46 , view      , 2025-08-17 09:34:14.203358, 1011.5561621529708    , educational      ,              439,             209,             103, True       ,         20, False   , True               , human                  , False , Mozilla/5.0 (Android 11; Mobile; rv:92.0)                   , 67.34.174.180  , 375x667          , 8              , 530700.00003           ,          0.0           , -0.5                      ,  1.0                ,            2,                     2
e_21    , human_user_296, v67     , creator_67 , view      , 2025-08-23 12:59:14.203388, 1350.6965766780072    , political_content,              439,             209,             103, True       ,         20, False   , True               , human                  , False , Mozilla/5.0 (Android 11; Mobile; rv:92.0)                   , 67.34.174.180  , 375x667          , 8              , 530700.00003           ,          0.0           , -0.5                      ,  1.0                ,            2,                     2
e_22    , human_user_715, v27     , creator_27 , view      , 2025-08-27 14:13:14.203528, 1382.7122563648827    , comedy           ,              301,              68,             302, True       ,          3, False   , True               , human                  , False , Mozilla/5.0 (Android 11; Mobile; rv:92.0)                   , 49.255.189.62  , 1536x864         , -6             , 256320.0               ,          0.0           , -0.5                      ,  0.5                ,            2,                     1
e_23    , human_user_715, v27     , creator_27 , view      , 2025-08-30 13:25:14.203528,  104.80573431386601   , comedy           ,              301,              68,             302, True       ,          3, False   , True               , human                  , False , Mozilla/5.0 (Android 11; Mobile; rv:92.0)                   , 49.255.189.62  , 1536x864         , -6             , 256320.0               ,          0.0           , -0.5                      ,  0.5                ,            2,                     1
